fucose	142191	3.20971e-11	142191	HUMAN_PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)	BIOCYC	organism-specific biosystem	Homo sapiens 
fucose	1268701	3.20971e-11	1268701	R-HSA-597592	Post-translational protein modification	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	1268714	3.20971e-11	1268714	R-HSA-446203	Asparagine N-linked glycosylation	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	1268677	3.20971e-11	1268677	R-HSA-392499	Metabolism of proteins	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	1268725	3.20971e-11	1268725	R-HSA-948021	Transport to the Golgi and subsequent modification	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	1269876	3.20971e-11	1269876	R-HSA-5653656	Vesicle-mediated transport	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	82930	3.20971e-11	82930	hsa00051	Fructose and mannose metabolism	KEGG	organism-specific biosystem	Homo sapiens 
fucose	132956	3.20971e-11	132956	hsa01100	Metabolic pathways	KEGG	organism-specific biosystem	Homo sapiens 
fucose	1268732	3.20971e-11	1268732	R-HSA-975578	Reactions specific to the complex N-glycan synthesis pathway	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	1268730	3.20971e-11	1268730	R-HSA-975576	N-glycan antennae elongation in the medial/trans-Golgi	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	1269897	3.20971e-11	1269897	R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	82979	3.20971e-11	82979	hsa00520	Amino sugar and nucleotide sugar metabolism	KEGG	organism-specific biosystem	Homo sapiens 
fucose	1269899	3.20971e-11	1269899	R-HSA-3000480	Scavenging by Class A Receptors	REACTOME	organism-specific biosystem	Homo sapiens 
fucose	198624	3.20971e-11	198624	WP1652	Fructose and mannose metabolism	WikiPathways	organism-specific biosystem	 
benzoic acid	1269956	3.89274e-09	1269956	R-HSA-1430728	Metabolism	REACTOME	organism-specific biosystem	Homo sapiens 
benzoic acid	1270216	3.89274e-09	1270216	R-HSA-159424	Conjugation of carboxylic acids	REACTOME	organism-specific biosystem	Homo sapiens 
benzoic acid	1270215	3.89274e-09	1270215	R-HSA-156587	Amino Acid conjugation	REACTOME	organism-specific biosystem	Homo sapiens 
benzoic acid	132956	3.89274e-09	132956	hsa01100	Metabolic pathways	KEGG	organism-specific biosystem	Homo sapiens 
benzoic acid	1270189	3.89274e-09	1270189	R-HSA-211859	Biological oxidations	REACTOME	organism-specific biosystem	Homo sapiens 
benzoic acid	1270207	3.89274e-09	1270207	R-HSA-156580	Phase II conjugation	REACTOME	organism-specific biosystem	Homo sapiens 
benzoic acid	82960	3.89274e-09	82960	hsa00360	Phenylalanine metabolism	KEGG	organism-specific biosystem	Homo sapiens 
benzoic acid	198419	3.89274e-09	198419	WP1252	Amino acid conjugation of benzoic acid	WikiPathways	organism-specific biosystem	 
benzoic acid	219763	3.89274e-09	219763	WP1287	Amino acid conjugation of benzoic acid	WikiPathways	organism-specific biosystem	 
benzoic acid	1270217	3.89274e-09	1270217	R-HSA-177135	Conjugation of benzoate with glycine	REACTOME	organism-specific biosystem	Homo sapiens 
benzoic acid	198566	3.89274e-09	198566	WP1008	Amino acid conjugation of benzoic acid	WikiPathways	organism-specific biosystem	 
benzoic acid	198677	3.89274e-09	198677	WP60	Toluene degradation	WikiPathways	organism-specific biosystem	 
benzoic acid	198841	3.89274e-09	198841	WP521	Amino acid conjugation of benzoic acid	WikiPathways	organism-specific biosystem	 
benzoic acid	1458171	3.89274e-09	1458171	WP1577	Amino acid conjugation of benzoic acid	WikiPathways	organism-specific biosystem	 
sorbitol	142439	6.339e-08	142439	HUMAN_PWY-4101	sorbitol degradation I	BIOCYC	organism-specific biosystem	Homo sapiens 
